statue - Statue; Standbild
top - Spitze; oberer Teil; oberes Ende
column - Säule
artist - Künstler/Künstlerin
bridge - Brücke
view - Aussicht; Sicht; Ausblick; Blick
cathedral - Kathedrale
royal - königlich
wedding - Hochzeit
central - zentral; Zentral
battle - Schlacht; Kanmpf
both - beide
stop - Haltestelle; Halt
transport - Verkehrmittel; Transport
cheap - billig; preiswert
way - Art und Weise
to travel - fahren; reisen
cab - Taxi
public  transport - öffentliche Verkehrsmittel
smartcard - Chipkarte
to tup up - aufladen
credit - Guthaben
cobbelstone - Kopsteinplaster; mit Kopfsteinpflaster gepflastern
access - Zugang; Zutritt
MS (multiple scerosis) - MS (Multiple Skerose)
still - dennoch; totzdem
to get around - sich fortbewegen 
selfish - selbsüchtig; egoistisch
to fight - sich streiten; kämpfen
tight - knapp; eng
area - Areal; Gebiet; Fläche
to agree with - einer Meinung sein mit, zustimmen
guide dog - Blindenhund
blind - blind
building - Gebäude
driver - Fahrer/Fahrerin
lift - Lift; Aufzug
passenger - Passagier/Passagierin; Fahrgast
ramp - Rampe
stairs - Treppe
also - auch 
to get into - einsteigen; hineingelangen
air - Luft
chippie - Fish-and-Chips-Bude
detail - Detail; Einzelcheit
high - hoch; groß
beautiful - schön; hübsch; wunderbar
relaxing - entspannend
Chinese - Chinese/Chinesin; chinesisch; Chinesisch; aus China
cute - niedlich; süß
usual - üblich; gewöhnlich
to waste - verschwenden
fantastic - fantastisch; großartig
less - weniger
short - kurz
mouse - Maus
centimetre - Zentimeter
tall - groß; hoch
world - Welt
detective - Detektive/Detektivin
to react - reagieren
everybody - jeder; alle
show-off - Angeber/Angeberin
unusual - ungewöhnlich; unüblich
stupid - dumm; blöd
viewer - Zuschauer/Zuschauerin
location - Handlungsort; Lage; Standort
scenry - Landschaft; Kulisse
close-up - Nahaufnahme
backround - Hintergrund
objekt - Gegendstand
to get off - aussteigen
station - Haltestelle; Bahnhof; Station 
close - nahe 
to go down - hinuntergehen; nach unten gehen; entlanggehen
to turn - einbiegen; abbiegen
right - rechts; rechte/rechter/rechtes
straight on - geradeaus
to cross - überqueren; kreuzen
footpath - Fußweg
along - entlang 
left - links; linke/linker/linkes
side - Seite 
step - Stufe; Schritt
past - vorbei an; vorüber an 
opposite - gegenüber; auf der anderen Seite von
on the left - auf der linken Seite 
on the right - auf der rechten Seite 
dark - dunkel
spooky - gespenstisch
spot - Fleck; Ort
ghost - Geist
blood - Blut
haunted - Spuk-; Geister-
to die - sterben
to kill - töten; umbringen
death - Tod 
dungeon - Verlies
murder - Mord
